1;0020-CBDW;2;06:056PM;2025-01-01;06:00 PM-07:00 PM;evening;cold;autumn
2;0084-FHES;3;011:043AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;autumn
3;0060-YHKR;4;011:07AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;autumn
4;0098-ISHM;4;01:06PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;autumn
5;0062-DSPT;2;06:027PM;2025-01-01;06:00 PM-07:00 PM;evening;cold;autumn
6;0079-CIOV;3;06:043PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;autumn
7;0021-XKZI;3;012:029PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;winter
8;0090-KERJ;4;01:051PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;winter
9;0059-YXMX;3;04:025PM;2025-01-01;04:00 PM-06:00 PM;afternoon;rainy;spring
10;0092-MHKR;4;011:044AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;spring
11;0085-EXIY;2;03:030PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;autumn
12;0075-LIFX;4;05:048PM;2025-01-01;04:00 PM-06:00 PM;afternoon;rainy;winter
13;0072-DEHK;2;03:01PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;autumn
14;0082-TXKR;4;04:022PM;2025-01-01;04:00 PM-06:00 PM;afternoon;cold;autumn
15;0051-WUFF;2;01:023PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;autumn
16;0087-JBSK;4;010:05AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;spring
17;0042-HLFS;2;011:043AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;autumn
18;0093-WHTN;3;012:030PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;spring
19;0029-XYGN;4;02:055PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;spring
20;0039-RQGF;2;01:048PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;autumn
21;0014-KTYP;3;04:035PM;2025-01-01;04:00 PM-06:00 PM;afternoon;rainy;winter
22;0068-FLWQ;2;07:00PM;2025-01-01;06:00 PM-07:00 PM;evening;cold;spring
23;0075-JSKQ;2;010:045AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;spring
24;0079-GCPH;4;04:029PM;2025-01-01;04:00 PM-06:00 PM;afternoon;rainy;winter
25;0065-PXNW;2;05:013PM;2025-01-01;04:00 PM-06:00 PM;afternoon;cold;winter
26;0059-IERY;4;011:047AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;spring
27;0060-HSMN;4;012:013PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;winter
28;0065-NBOG;3;011:019AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;autumn
29;0054-EDRQ;2;02:010PM;2025-01-01;02:00 PM-04:00 PM;afternoon;cold;winter
30;0086-KNHG;4;01:050PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;autumn
31;0027-DLOX;2;02:024PM;2025-01-01;02:00 PM-04:00 PM;afternoon;cold;spring
32;0030-XFFP;2;02:031PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;winter
33;0099-DMCU;3;011:047AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;winter
34;0056-EJZB;3;012:016PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;spring
35;0091-GGIX;2;012:059PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;autumn
36;0044-HJZR;4;02:035PM;2025-01-01;02:00 PM-04:00 PM;afternoon;cold;autumn
37;0025-PMRU;4;010:055AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;spring
38;0031-YQJV;3;01:030PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;winter
39;0031-BULX;3;02:040PM;2025-01-01;02:00 PM-04:00 PM;afternoon;cold;autumn
40;0021-UDCS;2;011:036AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;autumn
41;0036-SBIB;3;03:09PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;spring
42;0073-SWOY;4;01:032PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;winter
43;0036-QPOP;2;012:028PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;winter
44;0067-MHTN;2;012:051PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;winter
45;0061-JRNG;2;03:026PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;spring
46;0072-USQI;3;07:00PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;autumn
47;0072-HNKQ;2;010:035AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;spring
48;0028-XQKP;3;012:012PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;winter
49;0039-LTTM;3;03:045PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;spring
